PRIMARY_ID,BioSample,BioProject,SRA_ID
SRX847953,SAMN03283347,PRJNA200694,SRA229887
SRX847952,SAMN03283347,PRJNA200694,SRA229887
SRX847951,SAMN03283347,PRJNA200694,SRA229887
SRX847950,SAMN03283347,PRJNA200694,SRA229887
SRX847949,SAMN03283347,PRJNA200694,SRA229887
SRX847948,SAMN03283347,PRJNA200694,SRA229887
SRX847947,SAMN03283347,PRJNA200694,SRA229887
SRX847946,SAMN03283347,PRJNA200694,SRA229887
SRX847945,SAMN03283347,PRJNA200694,SRA229887
SRX847944,SAMN03283347,PRJNA200694,SRA229887
SRX847943,SAMN03283347,PRJNA200694,SRA229887
SRX847942,SAMN03283347,PRJNA200694,SRA229887
SRX847941,SAMN03283347,PRJNA200694,SRA229887
SRX847940,SAMN03283347,PRJNA200694,SRA229887
SRX847939,SAMN03283347,PRJNA200694,SRA229887
SRX847938,SAMN03283347,PRJNA200694,SRA229887
SRX847937,SAMN03283347,PRJNA200694,SRA229887
SRX847936,SAMN03283347,PRJNA200694,SRA229887
SRX847935,SAMN03283347,PRJNA200694,SRA229887
SRX847934,SAMN03283347,PRJNA200694,SRA229887
SRX847933,SAMN03283347,PRJNA200694,SRA229887
SRX847932,SAMN03283347,PRJNA200694,SRA229887
SRX847931,SAMN03283347,PRJNA200694,SRA229887
SRX847930,SAMN03283347,PRJNA200694,SRA229887
SRX847929,SAMN03283347,PRJNA200694,SRA229887
SRX847928,SAMN03283347,PRJNA200694,SRA229887
SRX847927,SAMN03283347,PRJNA200694,SRA229887
SRX847926,SAMN03283347,PRJNA200694,SRA229887
SRX847925,SAMN03283347,PRJNA200694,SRA229887
SRX847924,SAMN03283347,PRJNA200694,SRA229887
SRX847923,SAMN03283347,PRJNA200694,SRA229887
SRX847922,SAMN03283347,PRJNA200694,SRA229887
SRX847921,SAMN03283347,PRJNA200694,SRA229887
SRX847920,SAMN03283347,PRJNA200694,SRA229887
SRX847919,SAMN03283347,PRJNA200694,SRA229887
SRX847918,SAMN03283347,PRJNA200694,SRA229887
SRX847917,SAMN03283347,PRJNA200694,SRA229887
SRX847916,SAMN03283347,PRJNA200694,SRA229887
SRX847915,SAMN03283347,PRJNA200694,SRA229887
SRX847914,SAMN03283347,PRJNA200694,SRA229887
SRX847913,SAMN03283347,PRJNA200694,SRA229887
SRX847912,SAMN03283347,PRJNA200694,SRA229887
SRX847911,SAMN03283347,PRJNA200694,SRA229887
SRX847910,SAMN03283347,PRJNA200694,SRA229887
SRX847909,SAMN03283347,PRJNA200694,SRA229887
SRX847908,SAMN03283347,PRJNA200694,SRA229887
SRX847907,SAMN03283347,PRJNA200694,SRA229887
SRX847906,SAMN03283347,PRJNA200694,SRA229887
SRX847905,SAMN03283347,PRJNA200694,SRA229887
SRX847904,SAMN03283347,PRJNA200694,SRA229887
SRX847903,SAMN03283347,PRJNA200694,SRA229887
SRX847902,SAMN03283347,PRJNA200694,SRA229887
SRX847901,SAMN03283347,PRJNA200694,SRA229887
SRX847900,SAMN03283347,PRJNA200694,SRA229887
SRX847899,SAMN03283347,PRJNA200694,SRA229887
SRX847898,SAMN03283347,PRJNA200694,SRA229887
SRX847897,SAMN03283347,PRJNA200694,SRA229887
SRX847896,SAMN03283347,PRJNA200694,SRA229887
SRX847895,SAMN03283347,PRJNA200694,SRA229887
SRX847894,SAMN03283347,PRJNA200694,SRA229887
SRX847893,SAMN03283347,PRJNA200694,SRA229887
SRX847892,SAMN03283347,PRJNA200694,SRA229887
SRX847891,SAMN03283347,PRJNA200694,SRA229887
SRX847890,SAMN03283347,PRJNA200694,SRA229887
SRX847889,SAMN03283347,PRJNA200694,SRA229887
SRX847888,SAMN03283347,PRJNA200694,SRA229887
SRX847887,SAMN03283347,PRJNA200694,SRA229887
SRX847886,SAMN03283347,PRJNA200694,SRA229887
SRX847885,SAMN03283347,PRJNA200694,SRA229887
SRX847884,SAMN03283347,PRJNA200694,SRA229887
SRX847883,SAMN03283347,PRJNA200694,SRA229887
SRX847882,SAMN03283347,PRJNA200694,SRA229887
SRX847881,SAMN03283347,PRJNA200694,SRA229887
SRX847880,SAMN03283347,PRJNA200694,SRA229887
SRX847879,SAMN03283347,PRJNA200694,SRA229887
SRX847878,SAMN03283347,PRJNA200694,SRA229887
SRX847877,SAMN03283347,PRJNA200694,SRA229887
SRX847876,SAMN03283347,PRJNA200694,SRA229887
SRX847875,SAMN03283347,PRJNA200694,SRA229887
SRX847874,SAMN03283347,PRJNA200694,SRA229887
SRX847873,SAMN03283347,PRJNA200694,SRA229887
SRX847872,SAMN03283347,PRJNA200694,SRA229887
SRX847871,SAMN03283347,PRJNA200694,SRA229887
SRX847870,SAMN03283347,PRJNA200694,SRA229887
SRX847869,SAMN03283347,PRJNA200694,SRA229887
SRX847868,SAMN03283347,PRJNA200694,SRA229887
SRX847867,SAMN03283347,PRJNA200694,SRA229887
SRX847866,SAMN03283347,PRJNA200694,SRA229887
SRX847865,SAMN03283347,PRJNA200694,SRA229887
SRX847864,SAMN03283347,PRJNA200694,SRA229887
SRX847863,SAMN03283347,PRJNA200694,SRA229887
SRX847862,SAMN03283347,PRJNA200694,SRA229887
SRX825579,SAMN03255769,PRJNA269593,SRA219090
SRX825578,SAMN03255769,PRJNA269593,SRA219090
SRX825577,SAMN03255769,PRJNA269593,SRA219090
SRX825576,SAMN03255769,PRJNA269593,SRA219090
SRX825575,SAMN03255769,PRJNA269593,SRA219090
SRX825542,SAMN03255769,PRJNA269593,SRA219090
SRX818607,SAMN03255769,PRJNA269593,SRA219090
