PRIMARY_ID,BioSample,BioProject,SRA_ID
SRX6770696,SAMN03255769,PRJNA559484,SRA951771
SRX6770695,SAMN03255769,PRJNA559484,SRA951771
SRX6770694,SAMN03255769,PRJNA559484,SRA951771
SRX6770693,SAMN03255769,PRJNA559484,SRA951771
SRX6770692,SAMN03255769,PRJNA559484,SRA951771
SRX6770691,SAMN03255769,PRJNA559484,SRA951771
SRX6770690,SAMN03255769,PRJNA559484,SRA951771
SRX6770689,SAMN03255769,PRJNA559484,SRA951771
SRX6770688,SAMN03255769,PRJNA559484,SRA951771
SRX6770687,SAMN03255769,PRJNA559484,SRA951771
SRX6770686,SAMN03255769,PRJNA559484,SRA951771
SRX6770685,SAMN03255769,PRJNA559484,SRA951771
SRX6770684,SAMN03255769,PRJNA559484,SRA951771
SRX6770683,SAMN03255769,PRJNA559484,SRA951771
SRX6770682,SAMN03255769,PRJNA559484,SRA951771
SRX6770681,SAMN03255769,PRJNA559484,SRA951771
SRX6770680,SAMN03255769,PRJNA559484,SRA951771
SRX6770679,SAMN03255769,PRJNA559484,SRA951771
SRX6770678,SAMN03255769,PRJNA559484,SRA951771
SRX6770677,SAMN03255769,PRJNA559484,SRA951771
SRX6770676,SAMN03255769,PRJNA559484,SRA951771
SRX6770675,SAMN03255769,PRJNA559484,SRA951771
SRX6770674,SAMN03255769,PRJNA559484,SRA951771
SRX6770673,SAMN03255769,PRJNA559484,SRA951771
SRX6770672,SAMN03255769,PRJNA559484,SRA951771
SRX6770671,SAMN03255769,PRJNA559484,SRA951771
SRX6770670,SAMN03255769,PRJNA559484,SRA951771
SRX6770669,SAMN03255769,PRJNA559484,SRA951771
SRX6770668,SAMN03255769,PRJNA559484,SRA951771
SRX6770667,SAMN03255769,PRJNA559484,SRA951771
SRX6770666,SAMN03255769,PRJNA559484,SRA951771
SRX6770665,SAMN03255769,PRJNA559484,SRA951771
SRX6770664,SAMN03255769,PRJNA559484,SRA951771
SRX6770663,SAMN03255769,PRJNA559484,SRA951771
SRX6770662,SAMN03255769,PRJNA559484,SRA951771
SRX6770661,SAMN03255769,PRJNA559484,SRA951771
SRX6770660,SAMN03255769,PRJNA559484,SRA951771
SRX6770659,SAMN03255769,PRJNA559484,SRA951771
SRX6770658,SAMN03255769,PRJNA559484,SRA951771
SRX6770657,SAMN03255769,PRJNA559484,SRA951771
SRX6770656,SAMN03255769,PRJNA559484,SRA951771
SRX6770655,SAMN03255769,PRJNA559484,SRA951771
SRX6770654,SAMN03255769,PRJNA559484,SRA951771
SRX6770653,SAMN03255769,PRJNA559484,SRA951771
SRX6770570,SAMN03255769,PRJNA559484,SRA951891
SRX6770569,SAMN03255769,PRJNA559484,SRA951891
SRX6770568,SAMN03255769,PRJNA559484,SRA951891
SRX6770567,SAMN03255769,PRJNA559484,SRA951891
